precision,recall,f1,number,category,fold,epoch,label_type,data_sample,model_type,accuracy,steps
0.2857142857142857,0.2857142857142857,0.2857142857142857,7.0,BEHÖRDE,0,0.1,Twitter,v5,Large,,0
0.42857142857142855,0.5,0.4615384615384615,6.0,BEHÖRDE,0,0.2,Twitter,v5,Large,,1
0.42857142857142855,0.6,0.5,5.0,BEHÖRDE,0,0.3,Twitter,v5,Large,,2
0.2857142857142857,0.6666666666666666,0.4,3.0,BEHÖRDE,0,0.4,Twitter,v5,Large,,3
0.14285714285714285,0.5,0.22222222222222224,2.0,BEHÖRDE,0,0.5,Twitter,v5,Large,,4
0.14285714285714285,0.5,0.22222222222222224,2.0,BEHÖRDE,0,0.6,Twitter,v5,Large,,5
0.14285714285714285,0.5,0.22222222222222224,2.0,BEHÖRDE,0,0.7,Twitter,v5,Large,,6
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,0.8,Twitter,v5,Large,,7
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,0.9,Twitter,v5,Large,,8
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,1.0,Twitter,v5,Large,,9
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,1.1,Twitter,v5,Large,,10
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,1.2,Twitter,v5,Large,,11
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,1.3,Twitter,v5,Large,,12
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,1.4,Twitter,v5,Large,,13
0.0,0.0,0.0,1.0,BEHÖRDE,0,1.5,Twitter,v5,Large,,14
0.0,0.0,0.0,1.0,BEHÖRDE,0,1.6,Twitter,v5,Large,,15
0.14285714285714285,1.0,0.25,1.0,BEHÖRDE,0,1.7,Twitter,v5,Large,,16
0.14285714285714285,1.0,0.25,1.0,BEHÖRDE,0,1.8,Twitter,v5,Large,,17
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,1.9,Twitter,v5,Large,,18
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,2.0,Twitter,v5,Large,,19
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,2.1,Twitter,v5,Large,,20
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,2.2,Twitter,v5,Large,,21
0.14285714285714285,1.0,0.25,1.0,BEHÖRDE,0,2.3,Twitter,v5,Large,,22
0.14285714285714285,1.0,0.25,1.0,BEHÖRDE,0,2.4,Twitter,v5,Large,,23
0.14285714285714285,1.0,0.25,1.0,BEHÖRDE,0,2.5,Twitter,v5,Large,,24
0.0,0.0,0.0,1.0,BEHÖRDE,0,2.6,Twitter,v5,Large,,25
0.14285714285714285,1.0,0.25,1.0,BEHÖRDE,0,2.7,Twitter,v5,Large,,26
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,2.8,Twitter,v5,Large,,27
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,2.9,Twitter,v5,Large,,28
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,3.0,Twitter,v5,Large,,29
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,3.1,Twitter,v5,Large,,30
0.14285714285714285,1.0,0.25,1.0,BEHÖRDE,0,3.2,Twitter,v5,Large,,31
0.0,0.0,0.0,1.0,BEHÖRDE,0,3.3,Twitter,v5,Large,,32
0.0,0.0,0.0,1.0,BEHÖRDE,0,3.4,Twitter,v5,Large,,33
0.14285714285714285,1.0,0.25,1.0,BEHÖRDE,0,3.5,Twitter,v5,Large,,34
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,3.6,Twitter,v5,Large,,35
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,3.7,Twitter,v5,Large,,36
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,3.8,Twitter,v5,Large,,37
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,3.9,Twitter,v5,Large,,38
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,4.0,Twitter,v5,Large,,39
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,4.1,Twitter,v5,Large,,40
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,4.2,Twitter,v5,Large,,41
0.14285714285714285,1.0,0.25,1.0,BEHÖRDE,0,4.3,Twitter,v5,Large,,42
0.14285714285714285,1.0,0.25,1.0,BEHÖRDE,0,4.4,Twitter,v5,Large,,43
0.14285714285714285,1.0,0.25,1.0,BEHÖRDE,0,4.5,Twitter,v5,Large,,44
0.14285714285714285,1.0,0.25,1.0,BEHÖRDE,0,4.6,Twitter,v5,Large,,45
0.0,0.0,0.0,1.0,BEHÖRDE,0,4.7,Twitter,v5,Large,,46
0.0,0.0,0.0,1.0,BEHÖRDE,0,4.8,Twitter,v5,Large,,47
0.14285714285714285,1.0,0.25,1.0,BEHÖRDE,0,4.9,Twitter,v5,Large,,48
0.14285714285714285,1.0,0.25,1.0,BEHÖRDE,0,5.0,Twitter,v5,Large,,49
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,5.1,Twitter,v5,Large,,50
0.2857142857142857,1.0,0.4444444444444445,2.0,BEHÖRDE,0,5.2,Twitter,v5,Large,,51
0.0,0.0,0.0,1.0,BEHÖRDE,0,5.3,Twitter,v5,Large,,52
0.0,0.0,0.0,1.0,BEHÖRDE,0,5.4,Twitter,v5,Large,,53
0.0,0.0,0.0,1.0,BEHÖRDE,0,5.5,Twitter,v5,Large,,54
0.0,0.0,0.0,1.0,BEHÖRDE,0,5.6,Twitter,v5,Large,,55
0.2857142857142857,0.6666666666666666,0.4,3.0,BEHÖRDE,0,5.7,Twitter,v5,Large,,56
0.2857142857142857,0.6666666666666666,0.4,3.0,BEHÖRDE,0,5.8,Twitter,v5,Large,,57
0.2857142857142857,0.6666666666666666,0.4,3.0,BEHÖRDE,0,5.9,Twitter,v5,Large,,58
0.0,0.0,0.0,1.0,BEHÖRDE,0,6.0,Twitter,v5,Large,,59
0.2857142857142857,0.6666666666666666,0.4,3.0,BEHÖRDE,0,6.1,Twitter,v5,Large,,60
0.2857142857142857,0.6666666666666666,0.4,3.0,BEHÖRDE,0,6.2,Twitter,v5,Large,,61
0.0,0.0,0.0,2.0,BEHÖRDE,0,6.3,Twitter,v5,Large,,62
0.0,0.0,0.0,1.0,BEHÖRDE,0,6.4,Twitter,v5,Large,,63
0.0,0.0,0.0,1.0,BEHÖRDE,0,6.5,Twitter,v5,Large,,64
